CWM_City,CITY_ID,Country,USA,FIPS_CNTRY,GMI_CNTRY,ADMIN_NAME,ADMIN_TYPE,PWS_EM,PWS_Lit,PWS_Final,Howassigned,Articles,Water_Area,Water_Quant,DVSN_Share,DVSN_Share_City,DVSN_NUM,DVTR_Num,Distance,Avg_Distance,CITY_POP,Cover_PctForest,Cover_PctAgpast,Cover_PctUrban,PctProtected,ProtectedYN,TOPO_MIN,TOPO_MAX,TOPO_RANGE,TOPO_MEAN,TOPO_STD,GWDRT_MIN,GWDRT_MAX,GWDRT_RANGE,GWDRT_MEAN,GWDRT_STD,GWDRT_MEDIAN,SWDRT_MIN,SWDRT_MAX,SWDRT_RANGE,SWDRT_MEAN,SWDRT_STD,SWDRT_MEDIAN,DRT_WGT
London,10,United Kingdom,0,UK,GBR,England,Division,,,,,,11348.25655,3480,NO,,26,2,3998,16706.5,471805,12.29,69.2,9.05,33,Y,0,4.343379974,4.343379974,0.731407054,0.551004612,1,1,0,1,0,1,1,1,0,1,0,1,1
Pretoria,11,South Africa,0,SF,ZAF,Gauteng,Province,,YES,YES,Lit review,43,1894.670255,3853,NO,,8,2,401858,144469.5,1666320,0.07,34.67,1.41,4.02,Y,0,20.4578495,20.4578495,1.506613115,1.813440756,NA,NA,NA,NA,NA,NA,5,9,4,6.933422104,1.998891539,5,6.933422104
Sydney,12,Australia,0,AS,AUS,New South Wales,State,,,,,,17573.73249,1644,NO,,16,1,23036,89141.0625,4364380,46.15,6.73,0.8,33.57,Y,0.015961848,20.79750061,20.78153876,2.726428818,2.704296227,NA,NA,NA,NA,NA,NA,1,5,4,3.216438356,1.269129105,4,3.216438356
Tokyo,13,Japan,0,JA,JPN,Kanto,Region,,,,,,14480.593,4334,NO,,21,1,52876,85092.90476,36833979,63.76,17.69,12.08,28.22,Y,0,33.88026047,33.88026047,4.282412153,4.105677455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sao Paulo,14,Brazil,0,BR,BRA,Sao Paulo,State,YES,,YES,EM and Lit Review,19; 34,9548.977335,5789,YES,523,14,1,87777,48352,19659808,40.48,16.97,2.85,44.69,Y,0.011286731,16.98152924,16.9702425,2.49240256,2.281975285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dublin,15,Ireland,0,EI,IRL,Leinster,Province,,,,,,1220.280232,540,NO,,9,1,15000,23739.55556,1100238,17,7.72,0.6,18.78,Y,0.011286731,11.71285725,11.70157052,1.678613852,1.99843785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buenos Aires,16,Argentina,0,AR,ARG,Distrito Federal,District,,,,,,2866861.686,4777,NO,,3,1,17868,9369.666667,14245871,12.56,35.51,1.18,5.97,Y,0,40.05744553,40.05744553,1.084984747,2.052012924,1,2,1,1.488886042,0.499876465,1,1,10,9,2.70805351,2.477630595,2,2.098469776
Dhaka,17,Bangladesh,0,BG,BGD,Dhaka,Division,,,,,,9371.688621,2150,NO,,6,1,7512,5048.75,14730537,4.33,89.82,1.96,1.95,Y,0,1.259570122,1.259570122,0.074101469,0.067435066,1,10,9,6.329208118,2.308011801,7,4,10,6,4.802816901,1.959692445,4,4.802816901
Rio de Janeiro,18,Brazil,0,BR,BRA,Rio de Janeiro,State,YES,,YES,EM,,19836.77233,4900,NO,,7,1,57457,55461,12373884,23.92,15.65,7.6,27.65,Y,0,24.91654205,24.91654205,3.027546032,3.59197018,NA,NA,NA,NA,NA,NA,2,4,2,2.068493151,0.363723782,2,2.068493151
Santiago,19,Chile,0,CI,CHL,Region Metropolitana,Region,,,,,,5022.506577,1900,NO,,8,1,58271,31769,6269330,4.86,8.55,1.24,3.56,Y,0.329638481,37.88440323,37.55476475,15.04424394,7.048706736,8,10,2,8.927751519,0.997386664,8,7,10,3,9,1.414213562,10,8.98193788
Beijing,20,China,0,CH,CHN,Beijing,Municipality,YES,YES,YES,EM and Lit Review,36,138811.8385,9453,NO,,7,1,64648,164658.2857,16189572,53.25,12.4,0.69,0,N,0,33.86460495,33.86460495,5.3414685,4.276346066,4,10,6,7.315819957,1.956956879,7,2,9,7,3.728677473,2.473157252,2,3.728677473
Shanghai,21,China,0,CH,CHN,Shanghai,Municipality,,,,,,1933961.815,9463,NO,,4,1,26512,36251.75,19979977,28.37,44.64,1.7,1.98,Y,0,43.55672455,43.55672455,4.622884022,5.313391796,1,10,9,6.34336123,2.919092114,7,1,10,9,4.003246554,2.845149312,4,4.588275223
Bogota,22,Colombia,0,CO,COL,Distrito Especial,Special District,YES,YES,YES,EM and Lit Review,46,1030.804091,1283,NO,,9,1,34080,35754.88889,8505956,20.77,11.82,0.07,19.25,Y,0.046536375,15.16030979,15.11377342,5.162183544,2.754597554,NA,NA,NA,NA,NA,NA,1,5,4,4.298245614,1.521367255,5,4.298245614
Kinshasa,23,"Congo, DRC",0,CG,ZAR,Kinshasa,Town,,,,,,3649346.083,650,NO,,4,1,5021,8595,9381673,41.42,4.94,0.08,9.62,Y,0,35.07555389,35.07555389,0.916423788,1.210242321,NA,NA,NA,NA,NA,NA,1,9,8,3.184532399,2.274140041,2,3.184532399
Guayaquil,24,Ecuador,0,EC,ECU,Guayas,Province,,,,,,13423.48608,1030,NO,,1,1,25062,25062,2492304,10.29,48.46,0.44,0,N,0,9.215694427,9.215694427,1.008250348,1.219213395,NA,NA,NA,NA,NA,NA,8,10,2,8.821727019,0.983981069,8,8.821727019
Cairo,25,Egypt,0,EG,EGY,Al Qahirah,Governorate,,,,,,2918490.123,6400,NO,,4,1,24720,9810.25,16899015,1.52,21.56,0.15,7.91,Y,0,36.10233688,36.10233688,0.951943484,2.0048642,NA,NA,NA,NA,NA,NA,1,9,8,5.00609611,2.561468764,5,5.00609611
Alexandria,26,Egypt,0,EG,EGY,Al Iskandariyah,Governorate,,,,,,2923449.377,2300,NO,,8,1,49530,18185.25,4332570,0.29,72.63,5.68,7.89,Y,0,2.970569849,2.970569849,0.172765481,0.316930868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berlin,27,Germany,0,GM,DEU,Berlin,State,,,,,,NA,585,NO,,9,1,21632,18731,3474830,40.52,53.51,4.44,41.39,Y,0,3.756281614,3.756281614,0.349883255,0.304724123,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1
Accra,28,Ghana,0,GH,GHA,Greater Accra,Region,,,,,,406083.2381,290,NO,,2,1,71494,43207,2060076,0.17,44.62,0.14,11.26,Y,0,16.26727867,16.26727867,0.568965846,0.767456577,NA,NA,NA,NA,NA,NA,1,7,6,4.252138903,1.869103331,5,4.252138903
Hong Kong,29,China,0,CH,CHN,Hong Kong,Special District,YES,,,EM,,27144.70701,2529,NO,,14,1,16733,20662.71429,7049514,56.56,13.46,3.02,0,N,0,20.51902008,20.51902008,3.109005402,2.724651186,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,1
Thane,30,India,0,IN,IND,Maharashtra,State,,,,,,3719.597583,362,NO,,3,1,51216,33896.66667,1862000,9.24,50.09,1.31,2.37,Y,0.011286731,24.52591705,24.51463032,2.606829873,3.842485988,NA,NA,NA,NA,NA,NA,7,7,0,7,0,7,7
Thiruvananthapuram,31,India,0,IN,IND,Kerala,State,,,,,,264.4026069,151,NO,,2,1,NA,NA,1647769,64.11,23.85,0,36.92,Y,0.033860188,20.13881493,20.10495474,3.743576452,4.846934149,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,1
Jakarta,32,Indonesia,0,ID,IDN,Jakarta Raya,Special District,YES,,YES,EM,,7742.464125,849,NO,,11,2,101237,41364.63636,9629953,40.24,38.5,9.09,6.55,Y,0,26.1714325,26.1714325,3.38736673,3.283110261,NA,NA,NA,NA,NA,NA,5,5,0,5,0,5,5
Abidjan,34,Cote d'Ivoire,0,IV,CIV,Abidjan,Department,,,,,,NA,502,NO,,1,1,9630,9630,4150288,35.21,41.43,3.3,10.6,Y,0,2.907448053,2.907448053,0.504901859,0.392995678,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1
Osaka,35,Japan,0,JA,JPN,Kinki,Region,,,,,,7107.79465,NA,NO,,5,1,52586,43689.6,19491722,66.58,17.06,5.1,27.66,Y,0,25.38755226,25.38755226,3.152810122,3.031626241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nairobi,36,Kenya,0,KE,KEN,Nairobi Area,Province,YES,YES,YES,EM and Lit Review,31,283.0946133,459,NO,,4,1,52437,39990.75,3236589,27.69,23.2,0,0,N,0.046536375,10.43113613,10.38459976,2.438148232,1.913166369,NA,NA,NA,NA,NA,NA,4,4,0,4,0,4,4
Mexico City,37,Mexico,0,MX,MEX,Distrito Federal,Federal District,YES,YES,YES,EM and Lit Review,42; 43,3490.573424,6851,NO,,9,1,1856,84270,20131688,31.21,25.15,0.42,57.21,Y,0.060780883,18.68428993,18.62350905,4.652865519,3.017846667,NA,NA,NA,NA,NA,NA,4,7,3,6.740540541,0.843243243,7,6.740540541
Casablanca,38,Morocco,0,MO,MAR,Centre,Region,,,,,,44612.61811,466,NO,,4,1,82433,57973.75,3405238,0.19,59.39,0.83,15.43,Y,0,28.67922592,28.67922592,3.142452157,3.615509155,7,9,2,8.045685279,0.362745914,8,7,9,2,7.278936017,0.555847825,7,7.470623333
Dehra Dun,39,India,0,IN,IND,Uttar Pradesh,State,,,,,,5195.904472,136,NO,,7,1,14885,11652.42857,699989,48.98,9.74,0.32,8.81,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jammu,40,India,0,IN,IND,Jammu & Kashmir,State,,,,,,2162.455724,2122,NO,,2,1,1490,1100,648787,14.1,67.44,1.31,6.39,Y,0.040694881,25.90101433,25.86031945,7.425049118,5.20552387,1,10,9,7.790919765,1.618255607,7,1,2,1,1.837606838,0.368811094,2,4.814263301
Mussorie,41,India,0,IN,IND,Uttar Pradesh,State,,,,,,NA,136,NO,,7,1,4318,2773.714286,#N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nainital,42,India,0,IN,IND,Uttar Pradesh,State,,,,,,6.185897091,136,NO,,3,1,338,437.6666667,#N/A,26.67,3.33,13.33,0,N,2.974156857,11.64486313,8.670706272,7.0686184,3.302638212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Srinagar,43,India,0,IN,IND,Jammu & Kashmir,State,,,,,,738.8895555,2122,NO,,6,2,550955,276426,1250571,25.63,36.52,1.81,17.86,Y,0.025237896,32.24848557,32.22324767,8.077669454,6.619394605,1,2,1,1.260683761,0.439007674,1,1,2,1,1.153846154,0.360801212,1,1.153846154
Uttarkashi,44,India,0,IN,IND,Uttar Pradesh,State,,,,,,4493.578715,142,NO,,3,1,NA,NA,42300,14.95,1.13,0,7.12,Y,0.310535938,40.70214844,40.3916125,14.29866817,7.051352337,NA,NA,NA,NA,NA,NA,8,8,0,8,0,8,8
Agra,45,India,0,IN,IND,Uttar Pradesh,State,,,,,,47455.17898,245,NO,,1,1,NA,NA,1714339,8.88,82.12,4.52,2,Y,0,34.10624695,34.10624695,1.564787116,3.90834082,NA,NA,NA,NA,NA,NA,7,10,3,7.309928444,0.578467065,7,7.309928444
Allahabad,46,India,0,IN,IND,Uttar Pradesh,State,,,,,,347258.8427,297,NO,,2,1,NA,NA,1204808,3.37,83.58,1.06,3.23,Y,0,10.88933659,10.88933659,0.430582845,0.622175744,NA,NA,NA,NA,NA,NA,5,10,5,8.418906161,1.278111073,9,8.418906161
Amritsar,47,India,0,IN,IND,Punjab,State,,,,,,NA,570,NO,,1,1,1042,1042,1171367,0.18,83.16,2.05,6.39,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathinda,48,India,0,IN,IND,Punjab,State,,,,,,78.78942613,327,NO,,2,1,294,1551.5,280653,0.09,85.84,6.76,6.39,Y,0,0.122084476,0.122084476,0.046895544,0.025741834,NA,NA,NA,NA,NA,NA,7,10,3,9,1.414213562,10,9
Delhi,49,India,0,IN,IND,Delhi,Union Territory,YES,,YES,EM,,97349.97324,7600,NO,,9,1,210173,155075.6667,21935142,10.28,2.39,0,4.3,Y,0,41.85568619,41.85568619,8.786593074,6.719916282,NA,NA,NA,NA,NA,NA,7,8,1,7.674129353,0.46869923,8,7.674129353
Faridabad,50,India,0,IN,IND,Haryana,State,,,,,,NA,570,NO,,1,2,1937,1937,#N/A,0.18,83.16,2.05,6.39,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gurgaon,51,India,0,IN,IND,Haryana,State,,,,,,140.9806139,2229,NO,,2,1,192770,99070,640000,0.16,85.31,7.09,6.39,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kanpur,52,India,0,IN,IND,Uttar Pradesh,State,,,,,,86858.27561,390,NO,,3,1,12135,12135,2904192,12.92,73.81,1.39,4.54,Y,0,44.08214951,44.08214951,3.327627515,6.165202478,NA,NA,NA,NA,NA,NA,4,8,4,7.827710843,0.549219216,8,7.827710843
Lucknow,53,India,0,IN,IND,Uttar Pradesh,State,,,,,,9063.924972,480,NO,,2,1,1964,6210,2854192,1.57,89.6,1.52,3.28,Y,0,0.606212497,0.606212497,0.081079743,0.082614793,NA,NA,NA,NA,NA,NA,4,7,3,5.18125,1.4657416,4,5.18125
Mathura,54,India,0,IN,IND,Uttar Pradesh,State,,,,,,46716.2717,34,NO,,2,1,1537,1294,444334,6.84,78.53,3.01,4.21,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meerut,55,India,0,IN,IND,Uttar Pradesh,State,,,,,,22.38196581,222,NO,,2,1,1211,6934.5,1406124,0.09,89.93,2.68,6.39,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patna,56,India,0,IN,IND,Bihar,State,,,,,,NA,325,NO,,1,1,NA,NA,2022108,6.34,81.07,1.19,4.01,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamunanagar,57,India,0,IN,IND,Haryana,State,,,,,,14334.7099,2122,NO,,1,1,940,940,377664,0.18,83.16,2.05,6.39,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jagadhri,58,India,0,IN,IND,Haryana,State,,,,,,NA,2122,NO,,1,1,NA,NA,#N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khanna,59,India,0,IN,IND,Punjab,State,,,,,,NA,327,NO,,1,1,1315,1315,#N/A,0.18,83.16,2.05,6.39,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaut,60,India,0,IN,IND,Punjab,State,,,,,,NA,327,NO,,1,1,177727,177727,#N/A,25.03,59.52,0.79,4.92,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mansa,61,India,0,IN,IND,Punjab,State,,,,,,NA,327,NO,,1,1,NA,NA,#N/A,8.28,5.17,0.05,4.92,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budhlada,62,India,0,IN,IND,Punjab,State,,,,,,NA,327,NO,,1,1,NA,NA,#N/A,8.28,5.17,0.05,4.92,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baretta,63,India,0,IN,IND,Punjab,State,,,,,,9008.088709,327,NO,,1,1,NA,NA,336286,8.28,5.17,0.05,4.92,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhuco,64,India,0,IN,IND,Punjab,State,,,,,,NA,327,NO,,1,1,729,729,#N/A,0.18,83.16,2.05,6.39,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goniana,65,India,0,IN,IND,Punjab,State,,,,,,NA,327,NO,,1,1,NA,NA,#N/A,8.28,5.17,0.05,4.92,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kot Fatta,66,India,0,IN,IND,Punjab,State,,,,,,NA,327,NO,,1,1,NA,NA,#N/A,8.28,5.17,0.05,4.92,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maur,67,India,0,IN,IND,Punjab,State,,,,,,NA,327,NO,,1,1,NA,NA,#N/A,8.28,5.17,0.05,4.92,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raman,68,India,0,IN,IND,Punjab,State,,,,,,NA,327,NO,,1,1,NA,NA,#N/A,8.28,5.17,0.05,4.92,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rampura,69,India,0,IN,IND,Punjab,State,,,,,,NA,327,NO,,1,1,825,825,#N/A,NA,NA,NA,0,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sangat,70,India,0,IN,IND,Punjab,State,,,,,,NA,327,NO,,1,1,NA,NA,#N/A,8.28,5.17,0.05,4.92,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhanbad,71,India,0,IN,IND,Bihar,State,,,,,,9029.394234,2122,NO,,2,1,10127,19531,1186101,6.07,67.08,2.71,1.31,Y,0,20.27451897,20.27451897,1.147757009,1.456600921,NA,NA,NA,NA,NA,NA,7,7,0,7,0,7,7
Hazaribag,72,India,0,IN,IND,Bihar,State,,,,,,21.22399459,2122,NO,,2,1,2221,4274.5,#N/A,0,78.57,13.39,29.13,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranchi,73,India,0,IN,IND,Bihar,State,,,,,,766.4512386,116,NO,,3,1,NA,NA,1106901,0.76,89.55,6.93,0,N,0,7.113034248,7.113034248,0.531841447,0.561510179,NA,NA,NA,NA,NA,NA,7,7,0,7,0,7,7
Aizawl,74,India,0,IN,IND,Mizoram,Union Territory,,,,,,1075.660743,2122,NO,,1,1,4880,4880,287210,94.54,0.57,0.18,0,N,0.225733444,21.90561485,21.67988141,6.796010618,3.779490178,NA,NA,NA,NA,NA,NA,4,4,0,4,0,4,4
Guwahati,75,India,0,IN,IND,Assam,State,,,,,,414821.4588,103,NO,,7,1,4517,5237,957449,26.9,7.19,0.08,2.87,Y,0,48.27853394,48.27853394,8.568787089,7.118569159,NA,NA,NA,NA,NA,NA,1,10,9,3.6268303,2.299711932,2,3.6268303
Siliguri,76,India,0,IN,IND,West Bengal,State,,,,,,729.4688439,23,NO,,1,1,7295,7295,683060,39.7,30.66,6.19,12.87,Y,0.02257346,23.61290359,23.59033014,6.091431646,6.039136814,NA,NA,NA,NA,NA,NA,5,5,0,5,0,5,5
Alwar,77,India,0,IN,IND,Rajasthan,State,,,,,,NA,2122,NO,,1,1,1969,1969,335746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhilwara,78,India,0,IN,IND,Rajasthan,State,,,,,,6181.772873,2122,NO,,3,1,10794,7598.666667,354051,0.43,67.16,0.22,0,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
