Country,FIPS_CNTRY,GMI_CNTRY,Government Effectiveness,Regulatory Quality,Voice and Accountability,Political Stability,Rule of Law,Control of Corruption,Gov_Index,Conservation_spending,Conservation_BLI,Conservation_IUCN,Conservation_A21,Doing Business Rank,Enforcing Contracts Rank,Doing Business Indicator,Enforcing Contracts Indicator,Natl_GDP_Curr,Natl_GDP_per_capita_Curr,Natl_GDP_CurrYear,Natl_GDP_2014,Natl_GDP_2004,Natl_GDP_1994,Avg_Annual_Growth_1994-2014,Avg_Annual_Growth_2004-2014,Property_Rights_GCR,IPRI_Score_2015
Afghanistan,AF,AFG,-1.429,-1.212,-1.288,-2.474,-1.671,-1.426,-1.584,3.575,NA,NA,NA,183,183,41.16,31.29,20038215159,634,2014,20038215159,5285461999,,8.1,8,,
Algeria,AG,DZA,-0.601,-1.186,-0.891,-1.17,-0.681,-0.479,-0.835,4.22,NA,0.1,0.1,154,120,50.69,52.89,213518488688,5484,2014,213518488688,85324998959,42542571306,3.4,3.2,3.7,4.1
Angola,AO,AGO,-1.256,-1.052,-1.12,-0.372,-1.28,-1.325,-1.067,0.061,NA,0.23,NA,181,187,41.85,25.22,138356809262,5901,2013,,23552047248,3101000000,7.1,,,2.6
Argentina,AR,ARG,-0.29,-0.989,0.237,0.06,-0.732,-0.459,-0.362,38.688,970,0.47,0.03,124,63,57.48,63.88,537659972702,12510,2014,537659972702,181873056797,257440000000,3.3,5.4,2.9,4
Armenia,AM,ARM,0.065,0.229,-0.6,0.07,-0.315,-0.466,-0.169,2.384,15,0,NA,45,119,70.6,53.33,11644438423,3874,2014,11644438423,3576615240,1315158670,6.7,5.9,4,4.3
Australia,AS,AUS,1.625,1.789,1.438,1.016,1.754,1.761,1.564,526.113,8000,1.63,8.95,10,12,80.66,77.06,1454675479666,61926,2014,1454675479666,612695262484,322805257696,3.4,3,5.9,7.7
Austria,AU,AUT,1.566,1.478,1.464,1.343,1.829,1.507,1.531,104.496,2100,0.75,7.95,21,5,77.42,81.55,436887543467,51191,2014,436887543467,299857238639,203044926876,1.9,1.4,5.9,7.6
Azerbaijan,AJ,AZE,-0.455,-0.427,-1.354,-0.41,-0.674,-0.901,-0.704,1.746,175,0,NA,80,31,64.08,69.02,75198010965,7884,2014,75198010965,8680511918,3313739674,8,11.9,3.8,4.1
Bangladesh,BG,BGD,-0.82,-0.927,-0.423,-1.613,-0.832,-0.891,-0.918,8.456,NA,0.12,0.01,173,188,46.84,20.82,172886567164,1087,2014,172886567164,65108544250,33768662171,5.4,6.1,3.5,2.6
Belgium,BE,BEL,1.59,1.291,1.373,0.917,1.403,1.63,1.368,143.167,85000,0.97,10.26,42,10,71.11,77.67,531546586179,47353,2014,531546586179,370885274398,246195171329,1.9,1.5,5.4,7.4
Benin,BN,BEN,-0.554,-0.424,0.115,0.28,-0.632,-0.825,-0.34,7.098,NA,0.31,0.15,151,167,51.1,37.73,9575356735,904,2014,9575356735,4521424807,1598075932,4.4,4.2,3.9,
Bolivia,BL,BOL,-0.398,-0.788,-0.103,-0.348,-1.071,-0.589,-0.549,20.843,256,0.79,0.11,157,111,49.95,54.93,32996187988,3124,2014,32996187988,8773451739,5981244887,4.2,4.9,3.4,4.2
Brazil,BR,BRA,-0.079,0.065,0.367,-0.278,-0.119,-0.115,-0.027,180.884,NA,0.09,0.21,120,118,58.01,53.6,2346076315119,11384,2014,2346076315119,669642735043,558111997497,3.1,3.6,3.9,5.1
Bulgaria,BU,BGR,0.153,0.519,0.318,0.176,-0.137,-0.293,0.123,4.958,800,0.25,2.76,38,75,71.8,61.27,56717054674,7851,2014,56717054674,26094622564,9697416974,2.8,3.1,3.6,4.9
Burkina Faso,UV,BFA,-0.617,-0.167,-0.294,-0.753,-0.527,-0.579,-0.49,5.989,10000,0.34,NA,167,153,48.36,43.83,12542221942,713,2014,12542221942,4838551100,1895290965,5.9,5.9,,4.1
Cambodia,CB,KHM,-0.922,-0.352,-0.98,-0.156,-0.99,-1.013,-0.735,4.875,NA,0.08,NA,135,178,55.33,32.79,16777820333,1095,2014,16777820333,5337833256,2791435272,7.7,7.8,3.6,
Cameroon,CM,CMR,-0.865,-0.93,-1.042,-0.518,-1.046,-1.192,-0.932,13.98,200,0.13,0.06,158,159,49.85,42.11,32050817633,1407,2014,32050817633,15775357015,9220470913,3.9,3.7,3.9,3.9
Canada,CA,CAN,1.771,1.715,1.458,1.031,1.74,1.874,1.598,1083.101,11200,1.15,0.45,16,65,79.09,63.76,1785386649602,50235,2014,1785386649602,1018401229823,575998828354,2.7,2,6,7.9
Chile,CI,CHL,1.245,1.481,1.092,0.373,1.338,1.517,1.174,16.936,4800,0.38,0.96,41,64,71.24,63.85,258061522887,14528,2014,258061522887,100630707852,55154226760,4.4,4.2,5.1,6.6
